"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Jorge Alfaro","Marlins","122","512","472","109","21","2","11","45","49","24","169","12","3","1",".230",".282",".357",".639",".276","-1.3","-0.1","1.6","248.8","12180"
"Jose Lobaton","Mariners","5","19","17","4","1","0","0","2","2","2","5","0","0","0",".211",".290",".339",".629",".275","-0.1","0.0","0.0","999.0","4243"
"Alex Jackson","Braves","3","13","12","2","1","0","0","1","1","1","4","0","0","0",".207",".271",".363",".633",".274","-0.1","0.0","0.0","999.0","sa828663"
"Michael Perez","Rays","40","166","153","35","7","0","3","16","16","11","40","1","1","1",".229",".281",".345",".626",".274","1.3","-0.2","0.2","600.4","12977"
"Nick Dini","Royals","5","19","18","4","1","0","0","2","2","1","4","0","0","0",".236",".280",".345",".626",".274","0.0","0.0","0.0","999.0","sa875718"
"John Ryan Murphy","Diamondbacks","26","111","102","22","5","0","3","10","11","7","28","1","0","0",".220",".273",".359",".632",".274","-0.1","0.0","0.3","999.0","10346"
"Sandy Leon","Red Sox","46","192","174","39","8","1","4","20","19","13","48","2","1","0",".223",".282",".342",".623",".273","1.6","-0.3","0.7","599.9","5273"
"Raffy Lopez","Braves","8","34","31","7","1","0","1","3","4","3","11","0","0","0",".213",".281",".349",".630",".273","-0.1","0.0","0.0","999.0","12606"
"Caleb Joseph","Diamondbacks","8","32","30","7","1","0","1","3","3","2","8","0","0","0",".228",".272",".353",".626",".273","0.2","0.0","0.1","600.9","7087"
"Eric Haase","Indians","8","32","29","6","1","0","1","3","4","2","12","0","0","0",".198",".257",".371",".628",".272","0.1","0.0","0.0","999.0","14111"
"Aramis Garcia","Giants","12","51","48","10","2","0","1","5","5","3","15","0","0","0",".219",".266",".353",".618",".269","0.1","0.0","0.1","595.3","16925"
"Chad Wallach","Marlins","30","128","114","23","5","0","3","11","11","11","38","2","0","0",".204",".279",".326",".605",".269","-0.1","-0.1","0.3","600.2","17161"
"Jesus Sucre","Orioles","46","192","177","42","7","0","3","17","19","9","31","2","1","0",".239",".281",".333",".614",".267","0.6","-0.2","0.1","999.0","5942"
"Beau Taylor","Athletics","8","32","28","6","1","0","0","3","2","3","9","0","0","0",".209",".294",".301",".595",".267","0.1","0.0","0.1","999.0","12384"
"Luke Maile","Blue Jays","23","96","87","18","4","0","2","9","9","7","25","1","1","0",".211",".275",".325",".600",".265","0.5","0.0","0.3","601.0","13355"
"Jose Briceno","Angels","15","64","60","13","2","0","2","6","7","3","15","0","1","0",".216",".255",".357",".612",".265","0.5","0.0","0.1","999.0","13151"
"Luis Torrens","Padres","3","13","12","3","1","0","0","1","1","1","2","0","0","0",".229",".273",".328",".601",".262","-0.1","0.0","0.0","999.0","15905"
"Tomas Nido","Mets","3","13","12","3","1","0","0","1","1","1","3","0","0","0",".225",".261",".341",".602",".261","0.0","0.0","0.0","999.0","13755"
"Jose Trevino","Rangers","30","128","121","28","5","0","2","12","12","6","20","1","1","1",".228",".264",".328",".592",".258","1.1","-0.1","0.0","601.0","16725"
"Jeff Mathis","Rangers","91","384","347","72","15","2","5","32","33","29","115","3","1","0",".208",".272",".307",".579",".256","4.9","-0.8","1.6","600.4","3448"
"Nick Ciuffo","Rays","6","26","24","5","1","0","0","2","2","1","7","0","0","0",".214",".260",".318",".579",".254","0.1","0.0","0.0","999.0","16291"
"Bobby Wilson","","30","128","116","23","5","0","3","11","12","8","33","1","0","0",".202",".257",".311",".567",".249","0.3","-0.2","0.1","999.0","6564"
"Rocky Gale","Dodgers","1","6","6","1","0","0","0","1","1","0","1","0","0","0",".223",".263",".302",".565",".248","0.0","0.0","0.0","999.0","10533"
