"","person.key","Team","Name","fanpoints","G","pred_points_sum","pred_games_count","pred_games_above_count","fanpos","position"
"256","martj008","Cardinals","Jose Martinez",363,111,333.517536427873,84.9139806765891,40.3567865830458,"1B","1B"
"257","martk001","Diamondbacks","Ketel Marte",387.5,118,333.820862912787,93.369330022665,39.0361236583527,"2B","2B"
"258","martl004","Indians","Leonys Martin",359.5,117,284.568058301479,85.537477809018,32.8947451150096,"OF","OF"
"259","martn003","Athletics","Nick Martini",147,52,NA,NA,NA,"OF","OF"
"260","martr004","Dodgers","Russell Martin",159,53,198.143961686847,54.765420460931,23.7288079287781,"C","C"
"261","marts002","Pirates","Starling Marte",513.5,153,353.460874156204,105.274016014555,40.941094172307,"OF","OF"
"262","mathj001","Rangers","Jeff Mathis",216.5,91,197.894445047494,39.1545227551793,23.146313955917,"C","C"
"263","mazan001","Rangers","Nomar Mazara",486,145,378.805329329339,106.143625657171,43.9832950319827,"OF","OF"
"264","mccab002","Braves","Brian McCann",183,61,197.60319265135,48.4667211536913,23.9250349563259,"C","C"
"265","mccaj001","White Sox","James McCann",116.5,46,301.028263686562,67.2753584907092,33.9918911650731,"C","C"
"266","mccua001","Phillies","Andrew McCutchen",513.5,142,320.83501815072,88.6497954535107,38.1765053101978,"OF","OF"
"267","mcgur002","Blue Jays","Reese McGuire",61.5,23,NA,NA,NA,"C","C"
"268","mckib001","Blue Jays","Billy McKinney",314,100,NA,NA,NA,"OF","OF"
"269","mcmar001","Rockies","Ryan McMahon",454.5,139,243.640421265129,59.0968320396887,28.6131280583614,"1B","1B"
"270","mcnej002","Mets","Jeff McNeil",401,127,NA,NA,NA,"2B","2B"
"271","meada001","Rays","Austin Meadows",423,130,NA,NA,NA,"OF","OF"
"272","mejif001","Padres","Francisco Mejia",225.5,80,272.405159763233,73.8973432749931,29.3203508391956,"C","C"
"273","mercj002","Tigers","Jordy Mercer",325,117,291.505874809051,65.8230222305947,34.1275803130522,"SS","SS"
"274","merrw001","Royals","Whit Merrifield",488,152,375.101415751946,103.855373721701,44.287252606809,"2B","2B"
"275","mesod001","Mets","Devin Mesoraco",20.5,8,254.538032687246,59.7550214051069,30.0726454255114,"C","C"
"276","moliy001","Cardinals","Yadier Molina",346.5,118,282.778841326847,78.092641868222,31.8072910873558,"C","C"
"277","moncy001","White Sox","Yoan Moncada",489.5,152,401.456084163918,107.338917815138,45.9191384051354,"2B","2B"
"278","mondr003","Royals","Adalberto Mondesi",544,155,291.266084735516,90.0655759438618,34.5557529710219,"2B","SS"
"279","morac001","Pirates","Colin Moran",153.5,50,298.373374381656,72.281725323624,33.1936651957894,"3B","3B"
"280","morem001","Red Sox","Mitch Moreland",271,83,330.480398813659,78.6989620534958,37.1276912382431,"1B","1B"
"281","morom001","Indians","Max Moroff",147.5,48,241.618656392441,58.3686410688825,28.0569358040748,"2B","2B"
"282","mousm001","Brewers","Mike Moustakas",520,145,337.192414170602,90.8038972092065,40.7860493399948,"3B","3B"
"283","muncm001","Dodgers","Max Muncy",504.5,140,NA,NA,NA,"1B","1B"
"284","munoy001","Cardinals","Yairo Munoz",183,62,NA,NA,NA,"SS","SS"
"285","murpd006","Rockies","Daniel Murphy",547.5,147,297.507235829679,77.8261511392511,35.5509850437184,"2B","2B"
"286","murpt002","Rockies","Tom Murphy",45.5,15,255.212114913262,54.1815403006951,29.7683484225136,"C","C"
"287","myerw001","Padres","Wil Myers",516.5,147,364.53969585869,88.5375698759823,41.3780558558701,"1B","OF"
"288","naqut001","Indians","Tyler Naquin",347.5,115,226.375959296178,58.5641288343003,26.7435818692338,"OF","OF"
"289","narvo001","Mariners","Omar Narvaez",289.5,107,285.854887639667,70.9927068988994,33.6975219754791,"C","C"
"290","negrk001","Mariners","Kristopher Negron",19,7,146.45757629371,37.5867651487517,17.1045345902126,"OF","OF"
"291","newmk001","Pirates","Kevin Newman",156.5,58,NA,NA,NA,"2B","SS"
"292","nidot001","Mets","Tomas Nido",7.5,3,262.098678537461,47.8989493774915,30.2812507331123,"C","C"
"293","nimmb001","Mets","Brandon Nimmo",377.5,117,367.71088702372,94.6214652727823,43.5202516743903,"OF","OF"
"294","nottj001","Padres","Jacob Nottingham",5.5,3,NA,NA,NA,"C","C"
"295","nunee002","Red Sox","Eduardo Nunez",134.5,43,274.373944950809,62.7865681682072,32.6559496279761,"2B","2B"
"296","nuner001","Orioles","Renato Nunez",292.5,93,267.490772169414,55.9720211979002,31.7861759252303,"3B","3B"
"297","obrip002","Marlins","Peter O'Brien",271,92,NA,NA,NA,"1B","1B"
"298","odorr001","Rangers","Rougned Odor",513,152,402.52631738226,110.96734190276,44.9518929323241,"2B","2B"
"299","ohear001","Royals","Ryan O'Hearn",439,138,NA,NA,NA,"1B","1B"
"300","olsom001","Athletics","Matt Olson",481,133,380.85602445423,100.69449111977,44.1525002093808,"1B","1B"
"301","oneit001","Cardinals","Tyler O'Neill",89,24,NA,NA,NA,"OF","OF"
"302","osunj001","Pirates","Jose Osuna",31.5,10,265.120871522116,54.4600108511385,30.6197032828742,"1B","1B"
"303","owinc001","Royals","Chris Owings",279,97,323.226407659288,73.1323964305301,36.6532230846295,"SS","OF"
"304","ozunm001","Cardinals","Marcell Ozuna",522,150,354.235300719956,97.0896998037854,39.6173717378677,"OF","OF"
"305","palkd001","White Sox","Daniel Palka",341.5,103,NA,NA,NA,"OF","OF"
"306","panij002","Giants","Joe Panik",399,133,287.906561688268,73.0817736750463,33.9833459928524,"2B","2B"
"307","parrg001","Giants","Gerardo Parra",324.5,118,283.947258560114,75.2959955245131,33.779809809411,"OF","OF"
"308","pears001","Red Sox","Steve Pearce",276.5,82,257.281915522342,63.1513848918472,28.2807346440472,"1B","1B"
"309","pedej001","Dodgers","Joc Pederson",356.5,96,366.865614193561,99.927567501221,42.7300379896114,"OF","OF"
"310","pedrd001","Red Sox","Dustin Pedroia",395,132,152.892123353066,25.7511734222412,18.1061892250177,"2B","2B"
"311","pench001","Rangers","Hunter Pence",192.5,65,245.705543609802,54.318665693684,28.57052273691,"OF","OF"
"312","perad001","Diamondbacks","David Peralta",488,142,343.858154449096,102.169988491037,41.3169970588673,"OF","OF"
"313","peraj003","Reds","Jose Peraza",429,143,386.869455637213,109.153580164786,44.3680403523683,"2B","SS"
"314","perec003","Orioles","Carlos Perez",7.5,3,203.888602421866,37.9878246137918,24.1113180349669,"C","C"
"315","pereh001","Brewers","Hernan Perez",196.5,66,302.55148921805,77.5749129333629,34.8454399203655,"3B","2B"
"316","perem005","Rays","Michael Perez",102,40,NA,NA,NA,"C","C"
"317","perer003","Indians","Roberto Perez",187.5,69,250.125706825935,53.385864199187,29.0995219185282,"C","C"
"318","petej002","Orioles","Jace Peterson",4.5,2,277.434466419568,57.4598635462085,32.0854492558772,"2B","OF"
"319","phamt001","Rays","Tommy Pham",495.5,138,329.943550251939,104.352131440293,39.0774001316537,"OF","OF"
"320","phegj001","Athletics","Josh Phegley",256,91,242.540181234803,47.3260229918808,28.4673101314321,"C","C"
"321","philb002","Royals","Brett Phillips",174.5,63,257.871042124571,64.0842022264902,30.0870691756801,"OF","OF"
"322","pillk001","Blue Jays","Kevin Pillar",432,145,350.08241417388,90.9537714228295,40.5928595385315,"OF","OF"
"323","pinam001","Brewers","Manny Pina",102,35,268.396003417561,68.2920505594188,31.6865095844475,"C","C"
"324","pindc001","Athletics","Chad Pinder",147.5,48,310.349340196758,78.4678809152785,35.5173546815257,"OF","OF"
"325","pirej001","Padres","Jose Pirela",34.5,12,317.592298144976,71.4457931135312,36.5939475448031,"2B","2B"
"326","piscs001","Athletics","Stephen Piscotty",516.5,153,365.191822849356,96.2679049488377,42.8825027532277,"OF","OF"
"327","plawk001","Indians","Kevin Plawecki",222.5,76,286.201521736156,65.7621277379611,31.9397132462648,"C","C"
"328","polag001","Pirates","Gregory Polanco",324,92,369.964814487958,102.675357258814,44.1417772968291,"OF","OF"
"329","polaj001","Twins","Jorge Polanco",461.5,147,311.465339586845,79.353045484716,37.2775796903498,"SS","SS"
"330","polla001","Dodgers","A.J. Pollock",487,142,307.962764022344,90.47803545998,35.9186038116762,"OF","OF"
"331","pompd001","Blue Jays","Dalton Pompey",9.5,3,NA,NA,NA,"OF","OF"
"332","poseb001","Giants","Buster Posey",386.5,123,292.01912857518,73.5134777515952,34.4914217631073,"C","C"
"333","pradm001","Marlins","Martin Prado",207,80,216.684635696674,45.6461167543277,25.8750776373136,"3B","3B"
"334","profj001","Athletics","Jurickson Profar",467,147,354.348104187619,103.302279326871,41.8014917351432,"3B","SS"
"335","puigy001","Reds","Yasiel Puig",514.5,138,353.443829150659,97.5282760693001,41.6442794315882,"OF","OF"
"336","quinr003","Phillies","Roman Quinn",184,62,NA,NA,NA,"OF","OF"
