"","person.key","Team","Name","fanpoints","G","pred_points_sum","pred_games_count","pred_games_above_count","position","points_sum_lag1","games_count_lag1","games_above_count_lag1","points_sd_lag1"
"107","conla001","Marlins","Adam Conley",275,60,80.8939453875201,36.4868111792542,1.23840943124129,"R",258.333333333333,52,2,4.56674520011887
"108","conlp001","Mets","P.J. Conlon",12.5,2,NA,NA,NA,"S",NA,NA,NA,NA
"109","corbp001","Nationals","Patrick Corbin",436,31,348.339356585294,34.9258594006565,3.44556138254422,"S",560,33,27,7.49217816031216
"110","coved001","White Sox","Dylan Covey",120.5,13,318.019259613886,23.777090188733,7.05464003096213,"S",198.833333333333,27,10,10.21698738747
"111","crick001","Pirates","Kyle Crick",228,50,56.1846698497943,38.2258681365592,-0.502411585856509,"R",346.166666666667,64,1,3.60346316955979
"112","curtj003","Angels","John Curtiss",50.5,15,46.6147191131044,23.8945276412406,-1.72717946468201,"R",22.1666666666667,8,0,4.2481905578579
"113","darvy001","Cubs","Yu Darvish",334,24,321.785524563594,22.6919591782357,1.42812818059364,"S",76,8,3,8.89845715180669
"114","davia003","Phillies","Austin Davis",39,10,NA,NA,NA,"R",NA,NA,NA,NA
"115","davim005","Rangers","Matt Davidson",22,10,NA,NA,NA,"C",NA,NA,NA,NA
"116","daviw001","Rockies","Wade Davis",390.5,65,55.6483195499123,27.4714364581363,0.379021049883172,"C",435.666666666667,69,3,4.69707670804006
"117","daviz001","Brewers","Zach Davies",231,21,370.320733290801,22.0267665984906,2.87937418746716,"S",111,13,3,5.68386029088223
"118","deetd001","Astros","Dean Deetz",143,40,NA,NA,NA,"C",NA,NA,NA,NA
"119","degrj001","Mets","Jacob deGrom",610.5,32,366.073919266826,37.5434282180859,3.00913727016049,"S",708.5,32,31,7.22836772412674
"120","deloe001","Phillies","Enyel De Los Santos",50,5,NA,NA,NA,"R",NA,NA,NA,NA
"121","desca001","Reds","Anthony DeSclafani",311.5,26,NA,NA,NA,"S",NA,NA,NA,NA
"122","devec001","Astros","Chris Devenski",225,50,88.4675515979061,38.8314275691766,0.931320359871769,"R",273.666666666667,50,3,4.97742750630271
"123","diaze006","Mets","Edwin Diaz",467.5,65,51.2994228317072,32.5312122348345,-1.40045140732744,"C",616.666666666667,73,14,3.45069736111868
"124","diazm004","Padres","Miguel Diaz",48.5,15,45.5020675020171,23.9351617306489,-0.817651645448732,"R",63.3333333333333,11,1,3.5779910846759
"125","diekj001","Royals","Jake Diekman",272.5,55,66.0789203990623,37.3040471804682,-0.107064292359756,"R",285.666666666667,71,1,4.35418935055817
"126","domis001","Phillies","Seranthony Dominguez",360.5,65,NA,NA,NA,"R",NA,NA,NA,NA
